rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
PACIFIC COAST BANKERS' BANK,PACIFIC COAST BANKERS' BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,-1.3622055053710938,2.2779276371002197
"PEOPLES BANK, A CODORUS VALLEY COMPANY","PEOPLES BANK, A CODORUS VALLEY COMPANY",Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.9418973326683044,4.475415229797363
PROGRESS BANK AND TRUST,PROGRESS BANK AND TRUST,Medium,2010,2021,13,-1,Noise,Medium - Noise,-0.7662761807441711,5.754220962524414
QUEENSBOROUGH NATIONAL BANK & TRUST COMPANY,QUEENSBOROUGH NATIONAL BANK & TRUST COMPANY,Medium,2010,2021,13,-1,Noise,Medium - Noise,1.5510942935943604,1.8768850564956665
"RBC BANK (GEORGIA), NATIONAL ASSOCIATION","RBC BANK (GEORGIA), NATIONAL ASSOCIATION",Medium,2010,2021,13,-1,Noise,Medium - Noise,1.7042391300201416,2.249941825866699
REPUBLIC FIRST BANK DBA REPUBLIC BANK,REPUBLIC FIRST BANK DBA REPUBLIC BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,2.183166742324829,5.999200820922852
RIVERVIEW BANK,RIVERVIEW BANK,Medium,2011,2021,12,-1,Noise,Medium - Noise,-2.242377758026123,3.6696231365203857
SACO & BIDDEFORD SAVINGS INSTITUTION,SACO & BIDDEFORD SAVINGS INSTITUTION,Medium,2010,2021,13,-1,Noise,Medium - Noise,-0.014736462384462357,4.410436153411865
SECURITY BANK OF KANSAS CITY,SECURITY BANK OF KANSAS CITY,Medium,2010,2021,13,-1,Noise,Medium - Noise,1.160766839981079,2.1371500492095947
SECURITY FIRST BANK,SECURITY FIRST BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,1.8592872619628906,5.259439945220947
STATE BANK AND TRUST COMPANY,STATE BANK AND TRUST COMPANY,Medium,2010,2020,12,-1,Noise,Medium - Noise,-2.150508403778076,4.732061862945557
STATE BANK OF THE LAKES,STATE BANK OF THE LAKES,Medium,2010,2019,11,-1,Noise,Medium - Noise,-1.9284907579421997,4.263840198516846
TOTALBANK,TOTALBANK,Medium,2010,2018,9,-1,Noise,Medium - Noise,-2.5540261268615723,3.8747267723083496
U.S. CENTURY BANK,U.S. CENTURY BANK,Medium,2010,2021,14,-1,Noise,Medium - Noise,1.7310051918029785,2.116054058074951
ULSTER SAVINGS BANK,ULSTER SAVINGS BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,0.1481677144765854,1.655793309211731
VINTON COUNTY NATIONAL BANK,VINTON COUNTY NATIONAL BANK,Medium,2012,2021,10,-1,Noise,Medium - Noise,0.8666113615036011,4.119150161743164
WAUKESHA STATE BANK,WAUKESHA STATE BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,0.20123445987701416,5.67645263671875
WEST TEXAS NATIONAL BANK,WEST TEXAS NATIONAL BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,0.8323107957839966,5.717230796813965
WESTFIELD BANK,WESTFIELD BANK,Medium,2012,2021,10,-1,Noise,Medium - Noise,-1.0605652332305908,6.464169502258301
AMERICAN MOMENTUM BANK,AMERICAN MOMENTUM BANK,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.21425454318523407,6.882084369659424
"BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION","BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION",Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,0.1423073410987854,6.392555236816406
CACHE VALLEY BANK,CACHE VALLEY BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,0.08731430023908615,6.673367977142334
CALIFORNIA BANK OF COMMERCE,CALIFORNIA BANK OF COMMERCE,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.22773097455501556,6.035882472991943
CAPSTAR BANK,CAPSTAR BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.3018164038658142,6.818461894989014
CARROLLTON BANK,CARROLLTON BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.3544518053531647,5.9108710289001465
COMMERCIAL BANK OF CALIFORNIA,COMMERCIAL BANK OF CALIFORNIA,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,0.17096178233623505,6.278234958648682
ESSA BANK & TRUST,ESSA BANK & TRUST,Medium,2012,2021,10,0,Profitability Leaders,Medium - Profitability Leaders,-0.6966179609298706,6.303546905517578
FIRST FLORIDA INTEGRITY BANK,FIRST FLORIDA INTEGRITY BANK,Medium,2014,2021,9,0,Profitability Leaders,Medium - Profitability Leaders,-0.22278694808483124,6.136724472045898
FIRST NATIONAL BANK ALASKA,FIRST NATIONAL BANK ALASKA,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.299389123916626,6.6704325675964355
FIRST NATIONAL BANK OF AMERICA,FIRST NATIONAL BANK OF AMERICA,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.44699975848197937,6.499695301055908
"FIRST NATIONAL BANK OF FORT SMITH, THE","FIRST NATIONAL BANK OF FORT SMITH, THE",Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,0.08143831789493561,6.347198486328125
FIRST WESTERN TRUST BANK,FIRST WESTERN TRUST BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,0.07743287086486816,6.482394218444824
GRANDPOINT BANK,GRANDPOINT BANK,Medium,2010,2018,10,0,Profitability Leaders,Medium - Profitability Leaders,-0.5871021151542664,6.808669567108154
"GREEN BANK, NATIONAL ASSOCIATION","GREEN BANK, NATIONAL ASSOCIATION",Medium,2010,2018,9,0,Profitability Leaders,Medium - Profitability Leaders,-0.2930538058280945,6.334255695343018
GREEN DOT BANK,GREEN DOT BANK,Medium,2011,2021,11,0,Profitability Leaders,Medium - Profitability Leaders,-0.37267041206359863,6.890662670135498
HAMILTON STATE BANK,HAMILTON STATE BANK,Medium,2010,2018,10,0,Profitability Leaders,Medium - Profitability Leaders,-0.06481906026601791,6.689475059509277
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION","INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",Medium,2012,2021,11,0,Profitability Leaders,Medium - Profitability Leaders,-0.5426014065742493,6.796808242797852
ION BANK,ION BANK,Medium,2013,2021,10,0,Profitability Leaders,Medium - Profitability Leaders,-0.136308953166008,6.103216648101807
LAKESIDE BANK,LAKESIDE BANK,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.12194518744945526,6.7383646965026855
MEADOWS BANK,MEADOWS BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.24569714069366455,6.975228786468506
METRO CITY BANK,METRO CITY BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,0.2890159785747528,6.488199710845947
NEEDHAM BANK,NEEDHAM BANK,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.4961845874786377,6.480322360992432
"NEXBANK, SSB","NEXBANK, SSB",Medium,2010,2020,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.8318742513656616,6.718023777008057
OPUS BANK,OPUS BANK,Medium,2010,2020,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.5281336903572083,6.798173427581787
PARK STERLING BANK,PARK STERLING BANK,Medium,2010,2017,9,0,Profitability Leaders,Medium - Profitability Leaders,-0.385563462972641,6.665755271911621
PROFESSIONAL BANK,PROFESSIONAL BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.5082769989967346,6.888723850250244
ROYAL BUSINESS BANK,ROYAL BUSINESS BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.4061604142189026,6.914117336273193
SECURITY STATE BANK & TRUST,SECURITY STATE BANK & TRUST,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.470130980014801,6.703798770904541
SOUTHERN STATES BANK,SOUTHERN STATES BANK,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,0.022000674158334732,6.732839107513428
SUNCREST BANK,SUNCREST BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.10939953476190567,6.853886604309082
"TEXAS EXCHANGE BANK, SSB","TEXAS EXCHANGE BANK, SSB",Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.726538896560669,6.700529098510742
TEXAS REGIONAL BANK,TEXAS REGIONAL BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.3880450129508972,6.756617546081543
THOMASTON SAVINGS BANK,THOMASTON SAVINGS BANK,Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,-0.03201627731323242,6.759965419769287
"WATERFORD BANK, NA","WATERFORD BANK, NA",Medium,2010,2021,13,0,Profitability Leaders,Medium - Profitability Leaders,0.2208724170923233,6.627618789672852
WAYNE BANK,WAYNE BANK,Medium,2010,2021,12,0,Profitability Leaders,Medium - Profitability Leaders,-0.2954234182834625,6.205988883972168
"WILMINGTON TRUST, NATIONAL ASSOCIATION","WILMINGTON TRUST, NATIONAL ASSOCIATION",Medium,2011,2021,11,0,Profitability Leaders,Medium - Profitability Leaders,-0.3302638828754425,6.99682092666626
XENITH BANK,XENITH BANK,Medium,2010,2017,9,0,Profitability Leaders,Medium - Profitability Leaders,-0.6174842715263367,6.8754448890686035
BANK IOWA,BANK IOWA,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.6332719326019287,3.047074317932129
"BANK OF TAMPA, THE","BANK OF TAMPA, THE",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.9025015830993652,3.062715530395508
BANK OF UTICA,BANK OF UTICA,Medium,2010,2021,12,1,Branch Consolidators,Medium - Branch Consolidators,-2.867628335952759,3.632561683654785
"BEVERLY BANK & TRUST COMPANY, NATIONAL ASSOCIATION","BEVERLY BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-3.1645333766937256,3.2336344718933105
BRIDGEWATER BANK,BRIDGEWATER BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.958191394805908,3.2766635417938232
CENTRIC BANK,CENTRIC BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-3.06862211227417,3.8081462383270264
CENTURY BANK AND TRUST COMPANY,CENTURY BANK AND TRUST COMPANY,Medium,2010,2021,12,1,Branch Consolidators,Medium - Branch Consolidators,-2.3382623195648193,3.1455161571502686
CONGRESSIONAL BANK,CONGRESSIONAL BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.9336998462677,3.3049843311309814
FIDELITY CO-OPERATIVE BANK,FIDELITY CO-OPERATIVE BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.9056572914123535,3.208817958831787
"FIRSTCAPITAL BANK OF TEXAS,N.A.","FIRSTCAPITAL BANK OF TEXAS,N.A.",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.976044178009033,3.408416986465454
HABIB AMERICAN BANK,HABIB AMERICAN BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.908153772354126,3.2104270458221436
MID PENN BANK,MID PENN BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-3.0587985515594482,3.352918863296509
"MVB BANK, INC.","MVB BANK, INC.",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-3.0182912349700928,3.101745843887329
NORTH DALLAS BANK & TRUST CO.,NORTH DALLAS BANK & TRUST CO.,Medium,2010,2021,12,1,Branch Consolidators,Medium - Branch Consolidators,-3.0774238109588623,3.3275229930877686
NORTH STATE BANK,NORTH STATE BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-3.051617383956909,3.0120737552642822
"OLD PLANK TRAIL COMMUNITY BANK, NATIONAL ASSOCIATION","OLD PLANK TRAIL COMMUNITY BANK, NATIONAL ASSOCIATION",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.706477403640747,2.926358222961426
"PLANTERS BANK, INC.","PLANTERS BANK, INC.",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.8520584106445312,3.21514892578125
REDDING BANK OF COMMERCE,REDDING BANK OF COMMERCE,Medium,2010,2019,11,1,Branch Consolidators,Medium - Branch Consolidators,-2.4034016132354736,2.964797258377075
SAFRA NATIONAL BANK OF NEW YORK,SAFRA NATIONAL BANK OF NEW YORK,Medium,2010,2021,12,1,Branch Consolidators,Medium - Branch Consolidators,-2.861488103866577,3.0121371746063232
SANTA CRUZ COUNTY BANK,SANTA CRUZ COUNTY BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.934720277786255,3.2757081985473633
SELECT BANK & TRUST COMPANY,SELECT BANK & TRUST COMPANY,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.785447597503662,3.090068817138672
"SPIRIT OF TEXAS BANK, SSB","SPIRIT OF TEXAS BANK, SSB",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.831909418106079,2.890476942062378
"THIRD COAST BANK, SSB","THIRD COAST BANK, SSB",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.9632179737091064,3.2651290893554688
UNITED TEXAS BANK,UNITED TEXAS BANK,Medium,2010,2021,12,1,Branch Consolidators,Medium - Branch Consolidators,-2.857104778289795,3.0755090713500977
VALLEY REPUBLIC BANK,VALLEY REPUBLIC BANK,Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-3.144829511642456,3.6343181133270264
WASHINGTONFIRST BANK,WASHINGTONFIRST BANK,Medium,2010,2017,9,1,Branch Consolidators,Medium - Branch Consolidators,-3.041546583175659,3.179713010787964
"WESTCHESTER BANK, THE","WESTCHESTER BANK, THE",Medium,2010,2021,13,1,Branch Consolidators,Medium - Branch Consolidators,-2.9641451835632324,3.7253243923187256
1ST CONSTITUTION BANK,1ST CONSTITUTION BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-1.4193646907806396,4.7823076248168945
1ST SUMMIT BANK,1ST SUMMIT BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.8694996237754822,2.659963607788086
"ACADEMY BANK, N.A.","ACADEMY BANK, N.A.",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.1881557703018188,3.9251461029052734
ACCESS NATIONAL BANK,ACCESS NATIONAL BANK,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,0.48382967710494995,3.2537479400634766
ACNB BANK,ACNB BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.775332510471344,2.4185898303985596
AIMBANK,AIMBANK,Medium,2010,2020,11,2,Steady Performers,Medium - Steady Performers,-0.43505772948265076,2.1774275302886963
ALMA BANK,ALMA BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.1134703159332275,5.77530574798584
ALPINE BANK & TRUST CO.,ALPINE BANK & TRUST CO.,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-0.48269376158714294,3.164029359817505
AMARILLO NATIONAL BANK,AMARILLO NATIONAL BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.4817023277282715,2.5406243801116943
AMBOY BANK,AMBOY BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.21976931393146515,4.885818004608154
AMERICAN BANK & TRUST,AMERICAN BANK & TRUST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.5973260402679443,2.9120707511901855
AMERICAN BANK CENTER,AMERICAN BANK CENTER,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.1273303031921387,3.5308644771575928
AMERICAN BANK OF COMMERCE,AMERICAN BANK OF COMMERCE,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.0916454792022705,1.580179214477539
AMERICAN BUSINESS BANK,AMERICAN BUSINESS BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.442561149597168,5.564194202423096
AMERICAN FIRST NATIONAL BANK,AMERICAN FIRST NATIONAL BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.468940019607544,5.205442905426025
AMERICAN NATIONAL BANK & TRUST,AMERICAN NATIONAL BANK & TRUST,Medium,2013,2021,10,2,Steady Performers,Medium - Steady Performers,-1.9518619775772095,5.106393337249756
AMERICAN NATIONAL BANK AND TRUST COMPANY,AMERICAN NATIONAL BANK AND TRUST COMPANY,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.1465165615081787,4.706596374511719
"AMERICAN NATIONAL BANK OF TEXAS, THE","AMERICAN NATIONAL BANK OF TEXAS, THE",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.8504667282104492,1.6523003578186035
"AMERICAN SAVINGS BANK, F.S.B.","AMERICAN SAVINGS BANK, F.S.B.",Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,0.9679893851280212,1.6684404611587524
AMERISERV FINANCIAL BANK,AMERISERV FINANCIAL BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-1.3212904930114746,3.608811855316162
ANB BANK,ANB BANK,Medium,2011,2021,11,2,Steady Performers,Medium - Steady Performers,-1.7814580202102661,6.031407356262207
ANDROSCOGGIN SAVINGS BANK,ANDROSCOGGIN SAVINGS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,2.0860891342163086,4.281835556030273
"ARMED FORCES BANK, NATIONAL ASSOCIATION","ARMED FORCES BANK, NATIONAL ASSOCIATION",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.494822382926941,4.232573509216309
ARMSTRONG BANK,ARMSTRONG BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.2848241329193115,3.82413911819458
"AUSTIN BANK, TEXAS NATIONAL ASSOCIATION","AUSTIN BANK, TEXAS NATIONAL ASSOCIATION",Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.9628719091415405,3.861772060394287
AVIDIA BANK,AVIDIA BANK,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.655534505844116,4.11636209487915
BAC FLORIDA BANK,BAC FLORIDA BANK,Medium,2010,2020,12,2,Steady Performers,Medium - Steady Performers,-0.29818737506866455,4.825272560119629
"BANC OF CALIFORNIA, NATIONAL ASSOCIATION","BANC OF CALIFORNIA, NATIONAL ASSOCIATION",Medium,2013,2021,11,2,Steady Performers,Medium - Steady Performers,0.37695202231407166,3.0256452560424805
BANCO SANTANDER PUERTO RICO,BANCO SANTANDER PUERTO RICO,Medium,2010,2020,11,2,Steady Performers,Medium - Steady Performers,1.3033405542373657,2.5660059452056885
BANESCO USA,BANESCO USA,Medium,2011,2021,12,2,Steady Performers,Medium - Steady Performers,-2.7445268630981445,4.7410688400268555
BANGOR SAVINGS BANK,BANGOR SAVINGS BANK,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.8350698947906494,3.042677879333496
BANK FIRST NATIONAL,BANK FIRST NATIONAL,Medium,2010,2018,9,2,Steady Performers,Medium - Steady Performers,-1.52036452293396,5.393679141998291
BANK INDEPENDENT,BANK INDEPENDENT,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.7160057425498962,1.4509915113449097
BANK LEUMI USA,BANK LEUMI USA,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.4858420193195343,4.809563636779785
BANK MIDWEST,BANK MIDWEST,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.568589925765991,4.048946857452393
BANK OF ANN ARBOR,BANK OF ANN ARBOR,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.2801463007926941,2.6804778575897217
BANK OF BLUE VALLEY,BANK OF BLUE VALLEY,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.8720020055770874,2.274035692214966
"BANK OF CASTILE, THE","BANK OF CASTILE, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.5117459297180176,4.049618721008301
BANK OF CLARKE COUNTY,BANK OF CLARKE COUNTY,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-0.48872581124305725,4.757505416870117
BANK OF COLORADO,BANK OF COLORADO,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.38285788893699646,1.9772511720657349
"BANK OF EDWARDSVILLE, THE","BANK OF EDWARDSVILLE, THE",Medium,2010,2019,10,2,Steady Performers,Medium - Steady Performers,-0.7163007855415344,3.3304905891418457
"BANK OF GREENE COUNTY, THE","BANK OF GREENE COUNTY, THE",Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,-0.7512173652648926,2.2576117515563965
BANK OF GUAM,BANK OF GUAM,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.8731047511100769,2.9739575386047363
BANK OF JACKSON HOLE,BANK OF JACKSON HOLE,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,1.8513200283050537,2.481924295425415
BANK OF MARIN,BANK OF MARIN,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.9839187264442444,2.195399045944214
"BANK OF MISSOURI, THE","BANK OF MISSOURI, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.49174556136131287,3.8308026790618896
BANK OF NEW ENGLAND,BANK OF NEW ENGLAND,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,0.383151113986969,3.7270870208740234
BANK OF NEW HAMPSHIRE,BANK OF NEW HAMPSHIRE,Medium,2012,2021,10,2,Steady Performers,Medium - Steady Performers,2.5223119258880615,4.369093418121338
"BANK OF PRINCETON, THE","BANK OF PRINCETON, THE",Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,-2.77309250831604,5.630736351013184
BANK OF SPRINGFIELD,BANK OF SPRINGFIELD,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,-0.3042226731777191,3.353839159011841
BANK OF STOCKTON,BANK OF STOCKTON,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,0.6063948273658752,2.8183236122131348
BANK OF TENNESSEE,BANK OF TENNESSEE,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.3105785846710205,4.322276592254639
BANK OF THE PACIFIC,BANK OF THE PACIFIC,Medium,2010,2021,13,2,Steady Performers,Medium - Steady Performers,2.3697586059570312,3.237424850463867
BANK OF TRAVELERS REST,BANK OF TRAVELERS REST,Medium,2010,2021,12,2,Steady Performers,Medium - Steady Performers,1.7776850461959839,3.380559206008911
