rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
FREMONT BANK,FREMONT BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.014872903935611248,5.2978925704956055
HOMETRUST BANK,HOMETRUST BANK,Medium,2012,2021,10,-1,Noise,Medium - Noise,-2.2518422603607178,2.9650473594665527
"HORIZON BANK, SSB","HORIZON BANK, SSB",Medium,2010,2021,13,-1,Noise,Medium - Noise,0.30956318974494934,1.5927995443344116
INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY,INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY,Medium,2010,2021,12,-1,Noise,Medium - Noise,-2.2911248207092285,4.903626441955566
"INTRUST BANK, NATIONAL ASSOCIATION","INTRUST BANK, NATIONAL ASSOCIATION",Medium,2010,2021,12,-1,Noise,Medium - Noise,1.6211888790130615,3.7066149711608887
JEFFERSON BANK,JEFFERSON BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,0.39804622530937195,5.405439376831055
"LOWELL FIVE CENT SAVINGS BANK, THE","LOWELL FIVE CENT SAVINGS BANK, THE",Medium,2010,2021,13,-1,Noise,Medium - Noise,-0.8827718496322632,6.365240573883057
MACATAWA BANK,MACATAWA BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,2.225044012069702,5.972905158996582
MERCHANTS BANK OF INDIANA,MERCHANTS BANK OF INDIANA,Medium,2010,2021,13,-1,Noise,Medium - Noise,-2.4305505752563477,5.9145026206970215
"MERCHANTS BANK, NATIONAL ASSOCIATION","MERCHANTS BANK, NATIONAL ASSOCIATION",Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.5839019417762756,5.677576065063477
NEWBURYPORT FIVE CENTS SAVINGS BANK,NEWBURYPORT FIVE CENTS SAVINGS BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.5978493094444275,6.120603561401367
NORTHBROOK BANK & TRUST COMPANY,NORTHBROOK BANK & TRUST COMPANY,Medium,2010,2019,11,-1,Noise,Medium - Noise,0.17140987515449524,3.411799192428589
NORTHFIELD BANK,NORTHFIELD BANK,Medium,2012,2021,10,-1,Noise,Medium - Noise,-1.5309830904006958,6.260157108306885
OAKSTAR BANK,OAKSTAR BANK,Medium,2012,2021,11,-1,Noise,Medium - Noise,-2.1412198543548584,2.8819353580474854
OLD LINE BANK,OLD LINE BANK,Medium,2010,2019,11,-1,Noise,Medium - Noise,-2.6302716732025146,3.8509531021118164
ORITANI BANK,ORITANI BANK,Medium,2010,2019,10,-1,Noise,Medium - Noise,-1.2318994998931885,6.126544952392578
